spray_date,spray_rate,wash_date,wash_type,item_type,electric_dryer,drying_split,conc,lod,sd_block,clrep
7/12/17,9x,7/12/17,agitator,workshirt,no,WND,3.1535,NA,4,19
7/12/17,9x,7/12/17,agitator,jeans,no,WND,14.4718,NA,4,19
7/12/17,9x,7/12/17,agitator,100 tshirt,no,WND,2.51,NA,4,19
7/12/17,9x,7/12/17,agitator,50:50 tshirt,no,WND,6.6449,NA,4,19
7/12/17,9x,7/12/17,agitator,onesie,yes,NA,0.8392,NA,4,19
7/12/17,9x,7/12/17,agitator,workshirt,yes,NA,5.11,NA,4,19
7/12/17,9x,7/12/17,agitator,jeans,yes,NA,21.9217,NA,4,19
7/12/17,9x,7/12/17,agitator,100 tshirt,yes,NA,3.4848,NA,4,19
7/12/17,9x,7/12/17,agitator,50:50 tshirt,yes,NA,7.9435,NA,4,19
7/12/17,9x,7/12/17,agitator,onesie,no,CL,1.2449,NA,4,19
7/12/17,9x,7/12/17,agitator,workshirt,no,CL,5.0642,NA,4,19
7/12/17,9x,7/12/17,agitator,jeans,no,CL,22.4547,NA,4,19
7/12/17,9x,7/12/17,agitator,100 tshirt,no,CL,4.3744,NA,4,19
7/12/17,9x,7/12/17,agitator,50:50 tshirt,no,CL,9.2451,NA,4,19
7/12/17,9x,7/12/17,HE,onesie,no,UV,1.0612,NA,4,20
7/12/17,9x,7/12/17,HE,workshirt,no,UV,4.4776,NA,4,20
7/12/17,9x,7/12/17,HE,jeans,no,UV,19.9108,NA,4,20
7/12/17,9x,7/12/17,HE,100 tshirt,no,UV,3.3456,NA,4,20
7/12/17,9x,7/12/17,HE,50:50 tshirt,no,UV,2.1478,NA,4,20
7/12/17,9x,7/12/17,HE,onesie,no,WND,0.7602,NA,4,20
7/12/17,9x,7/12/17,HE,workshirt,no,WND,2.7409,NA,4,20
7/12/17,9x,7/12/17,HE,jeans,no,WND,12.4453,NA,4,20
7/12/17,9x,7/12/17,HE,100 tshirt,no,WND,2.1623,NA,4,20
7/12/17,9x,7/12/17,HE,50:50 tshirt,no,WND,1.2346,NA,4,20
7/12/17,9x,7/12/17,HE,onesie,yes,NA,1.8944,NA,4,20
7/12/17,9x,7/12/17,HE,workshirt,yes,NA,5.9012,NA,4,20
7/12/17,9x,7/12/17,HE,jeans,yes,NA,17.1665,NA,4,20
7/12/17,9x,7/12/17,HE,100 tshirt,yes,NA,3.5478,NA,4,20
7/12/17,9x,7/12/17,HE,50:50 tshirt,yes,NA,6.4883,NA,4,20
7/12/17,9x,7/12/17,HE,onesie,no,CL,1.0909,NA,4,20
7/12/17,9x,7/12/17,HE,workshirt,no,CL,5.1388,NA,4,20
7/12/17,9x,7/12/17,HE,jeans,no,CL,18.7152,NA,4,20
7/12/17,9x,7/12/17,HE,100 tshirt,no,CL,4.1279,NA,4,20
7/12/17,9x,7/12/17,HE,50:50 tshirt,no,CL,6.0594,NA,4,20
7/12/17,9x,7/13/17,none,workshirt,no,NA,54.5124,NA,4,24
7/12/17,9x,7/13/17,none,jeans,no,NA,49.2706,NA,4,24
7/12/17,9x,7/13/17,none,100 tshirt,no,NA,42.2789,NA,4,24
7/12/17,9x,7/13/17,none,50:50 tshirt,no,NA,42.5567,NA,4,24
7/12/17,9x,7/13/17,agitator,onesie,no,UV,1.5195,NA,4,22
7/12/17,9x,7/13/17,agitator,workshirt,no,UV,9.7569,NA,4,22
7/12/17,9x,7/13/17,agitator,jeans,no,UV,32.2099,NA,4,22
7/12/17,9x,7/13/17,agitator,100 tshirt,no,UV,6.691,NA,4,22
7/12/17,9x,7/13/17,agitator,50:50 tshirt,no,UV,7.8405,NA,4,22
7/12/17,9x,7/13/17,agitator,onesie,no,WND,1.4708,NA,4,22
7/12/17,9x,7/13/17,agitator,workshirt,no,WND,10.1746,NA,4,22
7/12/17,9x,7/13/17,agitator,jeans,no,WND,27.5376,NA,4,22
7/12/17,9x,7/13/17,agitator,100 tshirt,no,WND,7.0221,NA,4,22
7/12/17,9x,7/13/17,agitator,50:50 tshirt,no,WND,7.909,NA,4,22
7/12/17,9x,7/13/17,agitator,onesie,yes,NA,1.608,NA,4,22
7/12/17,9x,7/13/17,agitator,workshirt,yes,NA,11.8047,NA,4,22
7/12/17,9x,7/13/17,agitator,jeans,yes,NA,29.5645,NA,4,22
7/12/17,9x,7/13/17,agitator,100 tshirt,yes,NA,6.1546,NA,4,22
7/12/17,9x,7/13/17,agitator,50:50 tshirt,yes,NA,9.0292,NA,4,22
7/12/17,9x,7/13/17,agitator,onesie,no,CL,1.4315,NA,4,22
